type,name,source_url,why_relevant,next_action,notes
photographer,The Bombay Studio,https://www.thebombaystudio.in/,Actor/model portfolio photography studio,Review services and send partner message,
photographer,Sandesh Jayakar / The Bombay Studio,https://www.sandeshjayakar.com/model-actor-portfolio-in-mumbai,Actor/model portfolio photography,Review services and send partner message,
photographer,Amir Abbasi,https://www.amir-abbasi.com/modelling,Fashion/model/actor portfolio photography,Review services and send partner message,
photographer,A.Rrajani,https://www.a-rrajani.com/,Model/actor portfolio and celebrity photography,Review services and send partner message,
photographer,StudioFM,https://studiofm.in/,Modeling and acting portfolio service,Review packages and send partner message,
acting_coach,Actor Prepares,https://actorprepares.in/,Mumbai acting academy with actor training audience,Find partnerships/admissions contact and send partner message,
acting_coach,Five Senses Theatre,https://fivesensestheatre.com/,Acting school/workshops in Mumbai,Find workshop contact and send partner message,
acting_coach,Barry John Acting Studio,https://bjas.in/,Acting courses in Mumbai/Delhi,Find partnership contact and send partner message,
acting_coach,Whistling Woods Actors' Studio,https://www.whistlingwoods.net/admissions/actors-studio/,Film acting course with aspiring actor audience,Find admissions/partnership contact and send partner message,
casting_or_talent,Cast You,https://castyou.in/,Digital casting agency for actors/models,Review collaboration angle and send feedback request,
casting_or_talent,Mumbai Dreams,https://mumbaidreams.co.in/,Casting agency for films TV and ads,Review profile-submission process and send feedback request,
casting_or_talent,IT Entertainment,https://www.itentertainment.in/,Casting and talent management agency,Review public profile-submission details and send feedback request,
